Year,Month,State,Species,Metrics_tons,Pounds,Dollars
2004,Dec,Oregon,SHELLFISH,15.6,"34,489","11,286"
2005,Dec,Oregon,SHELLFISH,23.7,"52,230","20,324"
2006,Dec,Oregon,SHELLFISH,0,60,72
2007,Dec,Oregon,SHELLFISH,5.4,"11,965","15,456"
2008,Dec,Oregon,SHELLFISH,20.6,"45,400","18,158"
2009,Dec,Oregon,SHELLFISH,36.1,"79,530","42,371"
2010,Dec,Oregon,SHELLFISH,12.4,"27,345","15,581"
2011,Dec,Oregon,SHELLFISH,30.4,"66,914","36,656"
2012,Dec,Oregon,SHELLFISH,21.8,"48,092","33,785"
2013,Dec,Oregon,SHELLFISH,31,"68,311","42,495"
2014,Dec,Oregon,SHELLFISH,16.8,"37,091","22,985"
2015,Dec,Oregon,SHELLFISH,6.1,"13,452","11,474"
1990,Dec,Washington,SHELLFISH,4.7,"10,446","93,920"
1991,Dec,Washington,SHELLFISH,4.5,"9,941","70,148"
1992,Dec,Washington,SHELLFISH,7.1,"15,691","89,946"
1993,Dec,Washington,SHELLFISH,12.6,"27,801","176,769"
1994,Dec,Washington,SHELLFISH,16.1,"35,592","323,390"
1995,Dec,Washington,SHELLFISH,9.9,"21,841","175,680"
1996,Dec,Washington,SHELLFISH,15.3,"33,721","230,805"
1997,Dec,Washington,SHELLFISH,12.1,"26,681","152,416"
1998,Dec,Washington,SHELLFISH,15.5,"34,239","242,324"
1999,Dec,Washington,SHELLFISH,29.6,"65,257","305,070"
2000,Dec,Washington,SHELLFISH,15.2,"33,515","221,408"
2001,Dec,Washington,SHELLFISH,67.6,"149,025","1,637,904"
2002,Dec,Washington,SHELLFISH,65.7,"144,735","1,579,533"
2003,Dec,Washington,SHELLFISH,66.3,"146,103","1,598,639"
2004,Dec,Washington,SHELLFISH,86.4,"190,545","1,880,150"
2005,Dec,Washington,SHELLFISH,40.2,"88,724","519,486"
2006,Dec,Washington,SHELLFISH,124.2,"273,835","3,744,516"
2007,Dec,Washington,SHELLFISH,79.4,"174,997","2,288,617"
2008,Dec,Washington,SHELLFISH,103.6,"228,292","2,495,276"
2009,Dec,Washington,SHELLFISH,117.5,"259,027","2,787,499"
2010,Dec,Washington,SHELLFISH,64.1,"141,264","1,039,364"
2011,Dec,Washington,SHELLFISH,71.9,"158,612","2,293,294"
2012,Dec,Washington,SHELLFISH,42.3,"93,219","163,672"
2013,Dec,Washington,SHELLFISH,70.5,"155,522","1,059,879"
2014,Dec,Washington,SHELLFISH,64.2,"141,441","840,054"
2015,Dec,Washington,SHELLFISH,56.4,"124,403","959,406"
1990,NSP,Alaska,SHELLFISH,21.6,"47,712","30,993"
1991,NSP,Alaska,SHELLFISH,25.2,"55,542","113,968"
1992,NSP,Alaska,SHELLFISH,33.7,"74,188","278,228"
1993,NSP,Alaska,SHELLFISH,24.2,"53,423","10,877"
1995,NSP,Alaska,SHELLFISH,6,"13,217","14,922"
1996,NSP,Alaska,SHELLFISH,4.7,"10,420","15,699"
1997,NSP,Alaska,SHELLFISH,135.9,"299,619","498,084"
1998,NSP,Alaska,SHELLFISH,194.8,"429,399","701,516"
1999,NSP,Alaska,SHELLFISH,860.6,"1,897,317","3,163,306"
2000,NSP,Alaska,SHELLFISH,629.4,"1,387,511","2,879,588"
2001,NSP,Alaska,SHELLFISH,730.5,"1,610,409","2,750,550"
2002,NSP,Alaska,SHELLFISH,910,"2,006,152","2,445,802"
2003,NSP,Alaska,SHELLFISH,975.1,"2,149,630","2,896,661"
2004,NSP,Alaska,SHELLFISH,"1,572.90","3,467,534","5,425,404"
2005,NSP,Alaska,SHELLFISH,"2,118.40","4,670,161","6,901,799"
2006,NSP,Alaska,SHELLFISH,"1,397.90","3,081,761","8,141,421"
2007,NSP,Alaska,SHELLFISH,"1,715.70","3,782,484","8,247,213"
2008,NSP,Alaska,SHELLFISH,"1,471.60","3,244,208","4,012,624"
2009,NSP,Alaska,SHELLFISH,"1,591.60","3,508,749","6,462,616"
2010,NSP,Alaska,SHELLFISH,"1,044.30","2,302,264","3,943,551"
2011,NSP,Alaska,SHELLFISH,784.6,"1,729,732","6,243,731"
2012,NSP,Alaska,SHELLFISH,199.9,"440,751","1,163,768"
2013,NSP,Alaska,SHELLFISH,406.3,"895,726","1,331,621"
2014,NSP,Alaska,SHELLFISH,429.8,"947,625","554,251"
2015,NSP,Alaska,SHELLFISH,559.4,"1,233,228","3,159,041"
1990,NSP,California,SHELLFISH,230.9,"508,948","758,452"
1991,NSP,California,SHELLFISH,254.6,"561,253","776,368"
1992,NSP,California,SHELLFISH,90.5,"199,496","201,484"
1993,NSP,California,SHELLFISH,25.5,"56,305","81,587"
1994,NSP,California,SHELLFISH,73,"161,006","155,196"
1995,NSP,California,SHELLFISH,44.2,"97,452","121,783"
1996,NSP,California,SHELLFISH,39.5,"87,050","109,325"
1999,NSP,California,SHELLFISH,85.5,"188,575","162,935"
2000,NSP,California,SHELLFISH,40.2,"88,620","70,762"
2001,NSP,California,SHELLFISH,3.7,"8,132","14,680"
2002,NSP,California,SHELLFISH,48.9,"107,816","122,650"
1990,NSP,Hawaii,SHELLFISH,203.7,"449,000","1,933,000"
1991,NSP,Hawaii,SHELLFISH,8.2,"18,000","90,000"
1992,NSP,Hawaii,SHELLFISH,93,"205,000","848,000"
1993,NSP,Hawaii,SHELLFISH,522.1,"1,151,000","2,022,000"
1994,NSP,Hawaii,SHELLFISH,45.4,"100,000","370,000"
1995,NSP,Hawaii,SHELLFISH,25.4,"56,000","216,000"
1996,NSP,Hawaii,SHELLFISH,32.7,"72,000","276,000"
1997,NSP,Hawaii,SHELLFISH,35.4,"78,000","296,000"
1998,NSP,Hawaii,SHELLFISH,84.8,"187,000","756,000"
1999,NSP,Hawaii,SHELLFISH,99.1,"218,438","873,057"
2000,NSP,Hawaii,SHELLFISH,26.2,"57,848","211,467"
2001,NSP,Hawaii,SHELLFISH,26,"57,372","617,329"
2002,NSP,Hawaii,SHELLFISH,1.8,"3,936","108,240"
2003,NSP,Hawaii,SHELLFISH,1.9,"4,290","117,975"
2014,NSP,Hawaii,SHELLFISH,0.1,187,354
