Total,Taxa,Exporter Country,YEAR,Modeled Data
230,Neocirrhites armatus,Cook Islands,2000,0
4155,Pseudanthias ventralis ventralis,Cook Islands,2000,0
23,Thalassoma lutescens,Cook Islands,2000,0
13,Halichoeres ornatissimus,Cook Islands,2008,0
14,Luzonichthys earlei,Cook Islands,2008,0
12,Nemateleotris helfrichi,Cook Islands,2008,0
13,Pomacanthus imperator,Cook Islands,2008,0
97,Pseudanthias cooperi,Cook Islands,2008,0
494,Pseudanthias lori,Cook Islands,2008,0
579,Pseudanthias pascalus,Cook Islands,2008,0
93,Acanthurus achilles,Cook Islands,2009,0
1364,Arothron meleagris,Costa Rica,2000,0
74,Bodianus diplotaenia,Costa Rica,2000,0
250,Canthigaster punctatissimus,Costa Rica,2000,0
126,Chaetodon humeralis,Costa Rica,2000,0
748,Cirrhitichthys oxycephalus,Costa Rica,2000,0
236,Diodon hystrix,Costa Rica,2000,0
35,Fowlerichthys avalonis,Costa Rica,2000,0
207,Gymnomuraena zebra,Costa Rica,2000,0
5060,Holacanthus passer,Costa Rica,2000,0
824,Microspathodon dorsalis,Costa Rica,2000,0
528,Muraena lentiginosa,Costa Rica,2000,0
1007,Ophioblennius steindachneri,Costa Rica,2000,0
2502,Oxycirrhites typus,Costa Rica,2000,0
146,Paranthias colonus,Costa Rica,2000,0
2280,Pomacanthus zonipectus,Costa Rica,2000,0
1258,Pristigenys serrula,Costa Rica,2000,0
10580,Thalassoma lucasanum,Costa Rica,2000,0
110,Thalassoma lutescens,Costa Rica,2000,0
862,Apogon atricaudus,Costa Rica,2004,0
17,Cephalopholis panamensis,Costa Rica,2004,0
4285,Diodon holocanthus,Costa Rica,2004,0
43,Diplobatis ommata,Costa Rica,2004,0
4019,Elacatinus puncticulatus,Costa Rica,2004,0
27,Gymnothorax undulatus,Costa Rica,2004,0
102,Johnrandallia nigrirostris,Costa Rica,2004,0
13,Holacanthus ciliaris,Costa Rica,2009,0
50,Lysmata wurdemanni,Costa Rica,2009,0
30,Opistognathus aurifrons,Costa Rica,2009,0
22,Prionurus punctatus,Costa Rica,2009,0
918,Acanthemblemaria macrospilus,Costa Rica,2011,0
59,Apogon atradorsatus,Costa Rica,2011,0
55,Acanthurus coeruleus,Curacao,2004,0
30,Balistes vetula,Curacao,2004,0
1038,Centropyge argi,Curacao,2004,0
204,Centropyge argi,Curacao,2004,1
456,Chromis cyanea,Curacao,2004,0
22,Elacatinus gemmatus,Curacao,2004,0
960,Elacatinus genie,Curacao,2004,0
25,Elacatinus puncticulatus,Curacao,2004,0
45,Equetus punctatus,Curacao,2004,0
1263,Gramma loreto,Curacao,2004,0
12,Holacanthus ciliaris,Curacao,2004,0
35,Holacanthus passer,Curacao,2004,0
19,Holacanthus tricolor,Curacao,2004,0
481,Liopropoma carmabi,Curacao,2004,0
23,Melichthys niger,Curacao,2004,0
188,Microspathodon chrysurus,Curacao,2004,0
236,Myripristis jacobus,Curacao,2004,0
171,Ophioblennius atlanticus,Curacao,2004,0
435,Opistognathus aurifrons,Curacao,2004,0
149,Opistognathus aurifrons,Curacao,2004,1
616,Pomacanthus paru,Curacao,2004,0
12,Pomacanthus zonipectus,Curacao,2004,0
56,Prognathodes aculeatus,Curacao,2004,0
21,Xanthichthys ringens,Curacao,2004,0
96,Elacatinus evelynae,Curacao,2005,0
274,Emblemaria pandionis,Curacao,2005,0
20,Plectroglyphidodon lacrymatus,Curacao,2005,0
53,Coryphopterus lipernes,Curacao,2008,0
70,Pleurosicya labiata,Curacao,2008,0
17,Stegastes planifrons,Curacao,2008,0
16,Bodianus rufus,Curacao,2009,0
175,Chromis insolata,Curacao,2009,0
175,Elacatinus horsti,Curacao,2009,0
322,Elacatinus oceanops,Curacao,2009,0
15,Lysmata wurdemanni,Curacao,2009,0
19,Plectrypops retrospinis,Curacao,2009,0
11,Ancylomenes pedersoni,Curacao,2011,0
73,Liopropoma rubre,Curacao,2011,0
20,Lysmata grabhami,Curacao,2011,0
769,Paguristes cadenati,Curacao,2011,0
74,Paranthias furcifer,Curacao,2011,0
12,Stegastes diencaeus,Curacao,2011,0
12,Zoanthus pulchellus,Curacao,2011,0
6202,Acanthurus coeruleus,Dominican Republic,2004,0
244,Amblycirrhitus pinos,Dominican Republic,2004,0
1689,Bodianus rufus,Dominican Republic,2004,0
159,Centropyge argi,Dominican Republic,2004,0
45,Chaetodon capistratus,Dominican Republic,2004,0
257,Chaetodon striatus,Dominican Republic,2004,0
10335,Chromis cyanea,Dominican Republic,2004,0
583,Clepticus parrae,Dominican Republic,2004,0
440,Diodon hystrix,Dominican Republic,2004,0
240,Diodon hystrix,Dominican Republic,2004,1
2375,Elacatinus oceanops,Dominican Republic,2004,0
89582,Gramma loreto,Dominican Republic,2004,0
4686,Gramma loreto,Dominican Republic,2004,1
1086,Gramma melacara,Dominican Republic,2004,0
93,Halichoeres garnoti,Dominican Republic,2004,0
106,Halichoeres maculipinna,Dominican Republic,2004,0
76,Halichoeres radiatus,Dominican Republic,2004,0
371,Holacanthus ciliaris,Dominican Republic,2004,0
544,Holacanthus tricolor,Dominican Republic,2004,0
66,Hypoplectrus gemma,Dominican Republic,2004,0
36,Hypoplectrus guttavarius,Dominican Republic,2004,0
516,Microspathodon chrysurus,Dominican Republic,2004,0
52,Myripristis jacobus,Dominican Republic,2004,0
2887,Ophioblennius atlanticus,Dominican Republic,2004,0
9782,Opistognathus aurifrons,Dominican Republic,2004,0
299,Opistognathus aurifrons,Dominican Republic,2004,1
677,Prognathodes aculeatus,Dominican Republic,2004,0
28,Scarus taeniopterus,Dominican Republic,2004,0
188,Serranus annularis,Dominican Republic,2004,0
363,Serranus baldwini,Dominican Republic,2004,0
1652,Serranus tabacarius,Dominican Republic,2004,0
1196,Serranus tigrinus,Dominican Republic,2004,0
7696,Serranus tortugarum,Dominican Republic,2004,0
456,Stegastes planifrons,Dominican Republic,2004,0
756,Thalassoma bifasciatum,Dominican Republic,2004,0
54,Abudefduf saxatilis,Dominican Republic,2005,0
12,Abudefduf sexfasciatus,Dominican Republic,2005,0
100,Apogon binotatus,Dominican Republic,2005,0
54,Apogon maculatus,Dominican Republic,2005,0
72,Chaetodon ocellatus,Dominican Republic,2005,0
1595,Chromis insolata,Dominican Republic,2005,0
200,Elacatinus evelynae,Dominican Republic,2005,0
